Natural Language Question,Category,Sucessfully Executed,Accepted,Discarded,Bing,Google ,KG4ASTRA,,,,,,,,,,,,,,,,,,,
what  manufacturer manufactures missiles used in TEL ?,Manufacturer Based,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
what  manufacturer manufactures missiles used in Rafale and MiG17?,Manufacturer Based,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
what  manufacturer manufactures missiles used in HAL?,Manufacturer Based,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
what  is the origin of the manufacturer manufactures missiles used in TEL  ?,Manufacturer Based,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
Which missiles are manufactured in India?,Missile Type,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
What are the top 5 missiles that have the highest operating range?,Range Type,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
What are the top 5 missiles that have the maximum operating range?,Range Type,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
What are the top 5 missiles that have the minimum operating range?,Range Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
What are the top 5 missiles that have the lowest operating range?,Range Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
What are the operating range of missiles used in Rafale?,Range Type,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
What are the operating range of missiles used in MIG19?,Range Type,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
What is the maximum operating range of Air-Air missiles ?,Range Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
What is the minimum operating range of Air-Air missiles ?,Range Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
What is the minimum operating range of Defence missiles ?,Range Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
What is the maximum operating range of Defence missiles ?,Range Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
What is the minimum operating range of Defence missiles and in which craft it is used in  ?,Range Type and Launch Platform Based,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
What is the minimum operating range of Anti-Tank missiles and in which craft it is used in  ?,Range Type and Launch Platform Based,yes,yes,,1,1,1,,,,,,,,,,,,,,,,,,,
What is the maximum operating range of Anti-Tank missiles and in which craft it is used in  ?,Range Type and Launch Platform Based,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
which crafts uses Anti-Tank missiles having the maximum operating range ?,Range Type and Launch Platform Based,yes,yes,,1,1,1,,,,,,,,,,,,,,,,,,,
Which missile has the highest operating range?,Missile Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
which missiles are manufactured by DRDO having the highest operating range ? ,Missile Type and Range Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
which missiles are manufactured by DRDO having the least operating range ? ,Missile Type and Range Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
which missiles are manufactured by DRDO  and having the highest Air-Air operating range  ? ,Missile Type and Range Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
which missiles are manufactured by DRDO  and having the least Air-Air operating range  ? ,Missile Type and Range Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
which missiles are manufactured by DRDO  and having the least Surface-Air operating range  ? ,Missile Type and Range Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
which missiles are Indian origin manufactured  and having the least Air-Air operating range  ? ,Missile Type and Range Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
which missiles are Indian origin manufactured  and having the maximum Submarine operating range ? ,Missile Type and Range Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
which missiles are Indian origin manufactured  and having the minimum Submarine operating range ? ,Missile Type and Range Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
which missiles are foreign origin manufactured  and having the minimum Submarine operating range ? ,Missile Type and Range Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
which missiles are foreign origin manufactured  and what is its operating range ? ,Missile Type and Range Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
which missiles are DRDO manufactured  and what is its operating range ? ,Missile Type and Range Type,yes,yes,,0,0,1,,,,,,,,,,,,,,,,,,,
which missiles are DRDO manufactured  and used in Indian Air Force? ,Missile Type,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
which missiles are DRDO and BEL manufactured  and used in Indian Air Force? ,Missile Type,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
which missiles are BEL manufactured  and used in Indian Air Force? ,Missile Type,yes,yes,,0,1,1,,,,,,,,,,,,,,,,,,,
What are the top 10 missiles that have the highest operating range?,Range Type,yes,yes,,1,0,1,,,,,,,,,,,,,,,,,,,
